rater,leaf,actual,UNexp,LINexp
7,3,99.96,96,90
7,4,72.45,73,65
7,5,97.39,97,97.3
7,6,88.68,97,97.3
7,7,91.03,90,90
7,8,19.79,40,20
7,9,25.16,35,30
7,10,90.59,45,85
7,11,9.1,10,9.6
7,12,36.99,15,32.2
7,13,10.93,12,9.6
7,14,99.64,98,97.3
7,15,26.73,17,15.7
7,16,87.96,49,76.5
7,17,6.05,8,0.5
7,18,87.32,95,80
7,19,12.18,12,15.7
7,20,96.43,97,97.3
7,21,9.62,15,10
7,22,10.41,7,10
7,23,5.39,10,9.6
7,24,5.62,6,9.6
7,25,12.37,6,15.7
7,26,4.42,8,9.6
7,27,29.76,53,30
7,28,29.76,55,30
7,29,10.76,12,10
7,30,69.39,78,76.5
7,31,10.4,39,15.7
7,32,91.06,97,80
7,33,4.97,8,9.6
7,34,99.67,99,97.3
7,35,87.17,98,97.3
7,36,20.26,6,9.6
7,37,5.35,5,9.6
7,38,50.87,50,61.1
7,39,67.24,70,61.1
7,40,9.67,18,15.7
7,41,7.08,10,15.7
7,42,3.84,7,9.6
7,43,9.56,8,15.7
7,44,61.34,74,60
7,45,85.5,87,85
7,46,39.09,65,30
7,47,42.38,40,44.6
7,48,15.65,12,18
7,49,51.85,66,55
7,50,60.9,95,60
8,1,70.48,50,65
8,2,96.07,80,90
8,3,99.96,95,95
8,4,72.45,60,60
8,5,97.39,80,85
8,6,88.68,70,80
8,7,91.03,80,85
8,8,19.79,20,25
8,9,25.16,20,30
8,10,90.59,40,80
8,11,9.1,5,10
8,12,36.99,20,25
8,13,10.93,10,15
8,14,99.64,99,97
8,15,26.73,20,25
8,16,87.96,70,75
8,17,6.05,5,10
8,18,87.32,80,76
8,19,12.18,5,10
8,20,96.43,90,95
8,21,9.62,10,15
8,22,10.41,15,15
8,23,5.39,5,7
8,24,5.62,5,8
8,25,12.37,10,10
8,26,4.42,5,5
8,27,29.76,30,35
8,28,29.76,30,25
8,29,10.76,10,10
8,30,69.39,80,60
8,31,10.4,20,14
8,32,91.06,90,95
8,33,4.97,5,6
8,34,99.67,100,99
8,35,87.17,80,85
8,36,20.26,30,25
8,37,5.35,10,10
8,38,50.87,60,50
8,39,67.24,90,70
8,40,9.67,15,12
8,41,7.08,10,9
8,42,3.84,5,3
8,43,9.56,10,9
8,44,61.34,75,70
8,45,85.5,85,76
8,46,39.09,50,40
8,47,42.38,50,45
8,48,15.65,20,15
8,49,51.85,50,40
8,50,60.9,60,60
